"Res_Pct"	"Exh_Pct"	"Blood_Pct"	"gene"	"CLsPass"	"LcmPass"	"CancerPass"	"Marker"	"Cell.Type"	"Cell_Marker"	"Marker_Genes"	"HighInStroma"
3.33169710043811	5.66841796265676	2.70351105252734	"ACSL4"	FALSE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--ACSL4"	FALSE
3.38950477794732	5.59454912528121	0.677163365990734	"ASB2"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--ASB2"	FALSE
3.56234400195697	5.53309256100227	0.431198261164306	"CD274"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--CD274"	FALSE
0.66574060985813	4.61154970677681	0	"TOX2"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--TOX2"	FALSE
3.21208531256838	4.48627791144706	2.61087226868904	"TNIP3"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--TNIP3"	FALSE
2.83112696560271	3.93813900619285	2.77397356670179	"CLEC7A"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--CLEC7A"	FALSE
1.7861143630138	2.82450005779723	0.797177302600278	"CADM1"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--CADM1"	FALSE
12.4680130611925	12.3894162424471	11.8495122521507	"SRGN"	TRUE	FALSE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--SRGN"	FALSE
11.9244808861779	11.3379783296468	10.1831631821854	"CD69"	TRUE	FALSE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--CD69"	FALSE
9.72045582106702	8.38842270450584	7.31529185053313	"PPP1R15A"	FALSE	TRUE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--PPP1R15A"	FALSE
8.64086033843483	3.70983001246851	2.81975868846008	"GPR183"	TRUE	FALSE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--GPR183"	FALSE
8.43221030771349	4.95019501036488	4.82783421830273	"NFKBID"	FALSE	TRUE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--NFKBID"	FALSE
8.11403528353706	7.87141473258064	7.93794398280454	"XCL2"	TRUE	FALSE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--XCL2"	FALSE
8.0535855017953	7.22820020959625	3.07713285838527	"RASGEF1B"	TRUE	TRUE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--RASGEF1B"	FALSE
8.00027683229371	7.67694848826	7.5158170824332	"PTGER4"	TRUE	FALSE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--PTGER4"	FALSE
7.09177402857225	3.80909848671969	0.663253060388756	"NR4A3"	TRUE	TRUE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--NR4A3"	FALSE
6.88175499184867	4.93802167452575	4.09180801798609	"XCL1"	TRUE	TRUE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--XCL1"	FALSE
6.35661465931358	1.25416563816385	0	"EGR2"	TRUE	FALSE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--EGR2"	FALSE
5.28578665490603	2.2308904052461	0	"RBKS"	TRUE	FALSE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--RBKS"	FALSE
3.50531919108311	3.05484833525522	2.93706049177696	"BCL2A1"	TRUE	TRUE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--BCL2A1"	FALSE
1.60871751418643	0	1.06844430417245	"NOTO"	TRUE	FALSE	TRUE	"Res"	"NK"	"NK_Res"	"NK_Res--NOTO"	FALSE
11.9663530003571	11.7922448200276	9.78826347742566	"CD69"	TRUE	FALSE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--CD69"	FALSE
10.7783204611361	10.5600955186359	7.52462714995276	"ZNF331"	TRUE	FALSE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--ZNF331"	FALSE
9.60656956829234	9.46277751086957	9.54401200263776	"STAT4"	TRUE	FALSE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--STAT4"	FALSE
9.3690267207009	8.45468153858269	7.99343050737033	"PTGER4"	TRUE	FALSE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--PTGER4"	FALSE
9.14926742246768	9.08305340578955	7.41363981809972	"LDLRAD4"	TRUE	FALSE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--LDLRAD4"	FALSE
8.56705057702628	0	0	"GPR15"	TRUE	TRUE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--GPR15"	FALSE
7.93932369788292	7.37319840532373	1.24359593532969	"TMIGD2"	TRUE	FALSE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--TMIGD2"	FALSE
7.7428731820216	7.41697149366638	7.18134890436622	"GPR65"	TRUE	TRUE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--GPR65"	FALSE
7.47811013755593	4.86597595791044	0.635148740660967	"NR4A3"	TRUE	TRUE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--NR4A3"	FALSE
6.03836586667734	3.14862226110681	0.999553685325359	"RBKS"	TRUE	FALSE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--RBKS"	FALSE
5.01427209079334	4.99476922771486	0.514376012031812	"PDE4A"	FALSE	TRUE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--PDE4A"	FALSE
4.07288941833177	3.63844226376056	3.3920846351755	"XCL1"	TRUE	TRUE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--XCL1"	FALSE
3.80408579988465	2.11485997169842	1.43834123547214	"IL12RB2"	TRUE	TRUE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--IL12RB2"	FALSE
1.51174197479515	0.325253584565974	0	"GFPT2"	TRUE	TRUE	TRUE	"Res"	"CD8"	"CD8_Res"	"CD8_Res--GFPT2"	FALSE
12.531115791411	11.556224768482	10.5249574350085	"CXCR4"	TRUE	FALSE	TRUE	"Res"	"CD4"	"CD4_Res"	"CD4_Res--CXCR4"	FALSE
11.9381994370814	10.353525319027	10.1092596306668	"CD69"	TRUE	FALSE	TRUE	"Res"	"CD4"	"CD4_Res"	"CD4_Res--CD69"	FALSE
11.3830154237047	10.7744162038592	10.312258227003	"GPR183"	TRUE	FALSE	TRUE	"Res"	"CD4"	"CD4_Res"	"CD4_Res--GPR183"	FALSE
9.1917390018881	9.15491391670484	7.94289418293366	"PPP1R15A"	FALSE	TRUE	TRUE	"Res"	"CD4"	"CD4_Res"	"CD4_Res--PPP1R15A"	TRUE
8.79518658652314	3.78388320058528	7.51405896029985	"PTGER4"	TRUE	FALSE	TRUE	"Res"	"CD4"	"CD4_Res"	"CD4_Res--PTGER4"	FALSE
8.66068260732973	7.67868586410022	8.64220052839003	"KLRB1"	TRUE	FALSE	TRUE	"Res"	"CD4"	"CD4_Res"	"CD4_Res--KLRB1"	FALSE
7.02770482940802	6.72145021583944	6.75416546336935	"ADAM19"	TRUE	TRUE	TRUE	"Res"	"CD4"	"CD4_Res"	"CD4_Res--ADAM19"	FALSE
6.587173003687	3.83822189171688	3.11138407610372	"RASGEF1B"	TRUE	TRUE	TRUE	"Res"	"CD4"	"CD4_Res"	"CD4_Res--RASGEF1B"	FALSE
5.25654682828299	4.66321627602566	0.656881142577976	"NR4A3"	TRUE	TRUE	TRUE	"Res"	"CD4"	"CD4_Res"	"CD4_Res--NR4A3"	TRUE
3.28587154213696	1.44222771589184	2.42133234461928	"ITGA1"	TRUE	FALSE	TRUE	"Res"	"CD4"	"CD4_Res"	"CD4_Res--ITGA1"	TRUE
